hoken_tokei_id,prefectures_id,age_id,gender_id,height_ave,height_sd,weight_ave,weight_sd
1,0,5,1,110.3,4.71,18.9,2.59
2,1,5,1,110.4,4.73,19.2,2.92
3,2,5,1,111.2,4.37,19.5,2.58
4,3,5,1,111.3,4.97,19.6,3.41
5,4,5,1,110.9,4.9,19.5,2.84
6,5,5,1,111.3,5.05,19.4,3.23
7,6,5,1,111.2,4.52,19.3,2.76
8,7,5,1,110.4,4.69,19.2,2.87
9,8,5,1,110,4.97,19.2,2.9
10,9,5,1,109.9,5.31,19,3.17
11,10,5,1,110.3,4.83,19,2.93
12,11,5,1,110.3,4.65,19.1,2.73
13,12,5,1,110.9,4.76,19.1,2.48
14,13,5,1,110.7,4.7,19.1,2.7
15,14,5,1,110.2,4.72,18.9,2.37
16,15,5,1,111.2,4.57,19.2,2.44
17,16,5,1,111.4,5.08,19.4,3.21
18,17,5,1,111,4.9,19.1,2.81
19,18,5,1,110.6,4.74,19.1,2.6
20,19,5,1,109.7,4.97,18.7,2.44
21,20,5,1,110.1,4.72,18.5,2.39
22,21,5,1,110.4,4.91,18.9,2.68
23,22,5,1,110.2,4.63,18.8,2.57
24,23,5,1,110.2,4.53,18.8,2.33
25,24,5,1,110.1,4.81,18.8,2.45
26,25,5,1,110.3,4.65,18.6,2.36
27,26,5,1,109.7,4.56,18.4,2.27
28,27,5,1,110.3,4.47,18.7,2.32
29,28,5,1,110.3,4.56,18.7,2.25
30,29,5,1,109.9,4.6,18.7,2.45
31,30,5,1,110.1,4.46,19,2.9
32,31,5,1,110.4,4.49,18.4,2.16
33,32,5,1,109.9,4.66,18.4,2.25
34,33,5,1,109.9,4.81,18.7,2.43
35,34,5,1,109.6,4.81,18.7,2.56
36,35,5,1,110.3,4.59,19,2.58
37,36,5,1,110.3,4.75,19.1,2.66
38,37,5,1,110.1,4.76,19.1,2.65
39,38,5,1,109.8,4.62,18.7,2.46
40,39,5,1,110.1,4.69,18.8,2.4
41,40,5,1,109.5,4.54,18.7,2.52
42,41,5,1,110,4.85,19,2.71
43,42,5,1,109.8,4.96,19,2.64
44,43,5,1,110.3,4.71,18.9,2.62
45,44,5,1,109.3,4.92,18.5,2.52
46,45,5,1,109.5,4.5,18.9,2.4
47,46,5,1,109.7,4.6,18.8,2.49
48,47,5,1,109,4.92,18.4,2.55
49,0,5,2,109.4,4.7,18.6,2.56
50,1,5,2,109.1,4.81,18.4,2.64
51,2,5,2,110.6,4.8,19.4,2.99
52,3,5,2,110,4.57,18.7,2.73
53,4,5,2,109.6,4.46,18.8,2.56
54,5,5,2,110.4,4.59,19.1,3.07
55,6,5,2,110.4,4.82,19,2.79
56,7,5,2,109.6,4.64,18.9,3.09
57,8,5,2,109.2,4.85,18.7,2.82
58,9,5,2,108.9,4.53,18.4,2.38
59,10,5,2,109.8,4.34,18.8,2.55
60,11,5,2,109.4,4.63,18.8,2.66
61,12,5,2,109.7,4.72,18.8,2.47
62,13,5,2,109.6,4.54,18.7,2.37
63,14,5,2,109.4,4.78,18.6,2.57
64,15,5,2,110.6,4.59,18.9,2.83
65,16,5,2,109.9,4.49,18.7,2.38
66,17,5,2,110.6,4.75,19,2.95
67,18,5,2,110.1,4.5,18.7,2.22
68,19,5,2,109.4,4.66,18.6,2.43
69,20,5,2,109.3,4.74,18.2,2.35
70,21,5,2,109.1,4.67,18.4,2.49
71,22,5,2,109.6,4.69,18.6,2.64
72,23,5,2,109.1,4.84,18.5,2.5
73,24,5,2,109.6,4.54,18.6,2.54
74,25,5,2,109.8,4.65,18.5,2.39
75,26,5,2,109.5,4.64,18.3,2.42
76,27,5,2,109.5,4.74,18.5,2.6
77,28,5,2,109.4,4.68,18.5,2.48
78,29,5,2,109.4,4.47,18.6,2.51
79,30,5,2,109.1,4.52,18.4,2.41
80,31,5,2,109.4,4.66,18.3,2.28
81,32,5,2,109.5,4.23,18.6,2.44
82,33,5,2,109,4.42,18.4,2.4
83,34,5,2,109.1,4.7,18.4,2.47
84,35,5,2,109.3,4.82,18.6,2.53
85,36,5,2,109.4,4.5,18.7,2.57
86,37,5,2,109.7,4.61,18.9,2.45
87,38,5,2,109,4.54,18.3,2.56
88,39,5,2,109.2,4.98,18.3,2.47
89,40,5,2,108.7,4.66,18.3,2.32
90,41,5,2,109.5,5.11,18.6,2.75
91,42,5,2,108.8,4.91,18.4,2.78
92,43,5,2,109.4,4.78,18.7,2.59
93,44,5,2,109.4,4.59,18.7,2.97
94,45,5,2,108.8,4.7,18.5,2.55
95,46,5,2,109,4.6,18.4,2.32
96,47,5,2,108.5,5.01,18.2,2.51
97,0,6,1,116.5,4.94,21.4,3.42
98,1,6,1,116.7,4.83,22,3.88
99,2,6,1,117.8,4.6,22.6,4.13
100,3,6,1,117.2,4.88,22.1,3.48
101,4,6,1,116.9,4.78,21.8,3.77
102,5,6,1,117.5,4.77,22.4,4.17
